period,reporterDesc,flowDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue
2014,Netherlands,Export,kg,2807061889,true,2807061889,true,0,false,,6134747846,6134747846
2014,Aruba,Import,kg,84,false,84,false,,false,894,,894
2014,New Zealand,Import,kg,206205,false,206205,false,208176,false,1059903303,,1059903303
2014,New Zealand,Export,kg,125790643,false,125790643,false,127727765,false,,624932011.95,624932011.95
2014,Nicaragua,Import,kg,100,false,100,false,,false,621,,621
2014,Nigeria,Import,N/A,,false,,false,,false,180382,,180382
2014,Nigeria,Export,N/A,,false,23275,true,,false,,107937,107937
2014,Norway,Import,kg,349524,false,349524,false,,false,1763657,,1763657
2014,Norway,Export,kg,3847878,false,3847878,false,,false,,8231574,8231574
2014,Palau,Import,kg,0,false,,false,,false,,1,1
2014,Pakistan,Import,kg,3224411,true,3224411,true,,false,8203138,,8203138
2014,Pakistan,Export,kg,3953860,false,3953860,false,,false,,5387366,5387366
2014,Panama,Import,kg,25564.15,true,25564.15,true,10061,false,56973,0,56973
2014,Panama,Export,kg,23229434,true,23229434,true,10906,false,0,59263,59263
2014,Peru,Import,kg,30803,false,30803,false,,false,38309.56,34760.21,38309.56
2014,Peru,Export,kg,8264321.74,false,8264321.74,false,,false,,22700064.01,22700064.01
2014,Philippines,Import,kg,1335,false,1335,false,,false,8327,,8327
2014,Philippines,Export,kg,22388,false,22388,false,,false,,90446,90446
2014,Poland,Import,kg,2511016,false,2511016,false,,false,7035520,,7035520
2014,Poland,Export,kg,126208,false,126208,false,,false,,280515,280515
2014,Portugal,Import,kg,5581695,false,5581695,false,,false,9521861,,9521861
2014,Portugal,Export,kg,4193070,false,4193070,false,,false,,8058672,8058672
2014,Qatar,Import,kg,1003,false,1003,false,,false,2385,,2385
2014,Romania,Import,kg,193122,false,193122,false,,false,912045,,912045
2014,Romania,Export,kg,17754936,false,17754936,false,,false,,16545532,16545532
2014,Russian Federation,Import,kg,5424177,false,5424177,false,,false,4890015,,4890015
2014,Russian Federation,Export,kg,7932141,false,7932141,false,,false,,17768179,17768179
2014,Saint Vincent and the Grenadines,Import,kg,16.25,false,16.25,false,,false,102.6,,102.6
2014,Saudi Arabia,Import,kg,189000,false,189000,false,,false,130988,,130988
2014,Saudi Arabia,Export,kg,10507000,false,10507000,false,,false,,6438902,6438902
2014,Serbia,Import,kg,942999,false,942999,false,,false,1401088,,1401088
2014,Serbia,Export,kg,3802779,false,3802779,false,,false,,5194688,5194688
2014,Seychelles,Import,kg,57.39,false,57.39,false,0,false,433073,0,433073
2014,India,Import,kg,96131462,false,96131462,false,,false,355081164,,355081164
2014,India,Export,kg,11913,false,11913,false,,false,,19749,19749
2014,Singapore,Export,N/A,0,true,19721953,true,,false,,86737847,86737847
2014,Slovakia,Import,kg,3211625,false,3211625,false,0,false,3277487692,3277487692,3277487692
2014,Slovakia,Export,kg,3144352,false,3144352,false,0,false,,3778392351,3778392351
